count,datasourceId,variable,field,runId
9684736,all,evidenceTotalCount,,2102-post
6748047,europepmc,evidenceCountByDatasource,,2102-post
1846,crispr,evidenceCountByDatasource,,2102-post
20911,genomics_england,evidenceCountByDatasource,,2102-post
442053,chembl,evidenceCountByDatasource,,2102-post
74451,slapenrich,evidenceCountByDatasource,,2102-post
217305,expression_atlas,evidenceCountByDatasource,,2102-post
3342,intogen,evidenceCountByDatasource,,2102-post
18417,reactome,evidenceCountByDatasource,,2102-post
408,sysbio,evidenceCountByDatasource,,2102-post
710300,phenodigm,evidenceCountByDatasource,,2102-post
183643,phewas_catalog,evidenceCountByDatasource,,2102-post
61666,cancer_gene_census,evidenceCountByDatasource,,2102-post
308,progeny,evidenceCountByDatasource,,2102-post
1187,clingen,evidenceCountByDatasource,,2102-post
794360,eva,evidenceCountByDatasource,,2102-post
2418,gene2phenotype,evidenceCountByDatasource,,2102-post
5271,uniprot_literature,evidenceCountByDatasource,,2102-post
10457,eva_somatic,evidenceCountByDatasource,,2102-post
388346,ot_genetics_portal,evidenceCountByDatasource,,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,targetId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantId,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalStatus,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,drugId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,publicationYear,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,targetModulation,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,resourceScore,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,urls_niceName,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,urls_url,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortShortName,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pathwayId,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,literature,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatio,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,confidence,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pValueExponent,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pValueMantissa,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalPhase,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_dEnd,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_dStart,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_section,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_tEnd,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_tStart,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_text,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortId,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,targetFromSourceId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,significantDriverMethods,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,reactionId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalSignificances,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,datatypeId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSource,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,allelicRequirements,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,confidenceIntervalLower,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,contrast,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyOverview,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,confidenceIntervalUpper,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,targetInModel,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pathwayName,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortDescription,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantRsId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyCases,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,diseaseId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyId,2102-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studySampleSize,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,targetSymbol,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,targetName,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,diseaseLabel,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,id,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,score,2102-post
6748047,europepmc,evidenceFieldNotNullCountByDatasource,sourceId,2102-post
1846,crispr,evidenceFieldNotNullCountByDatasource,targetId,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,variantId,2102-post
1846,crispr,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,clinicalStatus,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,drugId,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,publicationYear,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,targetModulation,2102-post
1846,crispr,evidenceFieldNotNullCountByDatasource,resourceScore,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,urls_niceName,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,urls_url,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,cohortShortName,2102-post
0,crispr,evidenceFieldNotNullCountByDatasource,pathwayId,2102-post
1846,crispr,evidenceFieldNotNullCountByDatasource,literature,2102-post
