count,datasourceId,variable,field,runId,value
str,all,evidenceTotalCount,,21.02,
str,europepmc,evidenceCountByDatasource,,21.02,
str,crispr,evidenceCountByDatasource,,21.02,
str,genomics_england,evidenceCountByDatasource,,21.02,
str,chembl,evidenceCountByDatasource,,21.02,
str,slapenrich,evidenceCountByDatasource,,21.02,
str,expression_atlas,evidenceCountByDatasource,,21.02,
str,intogen,evidenceCountByDatasource,,21.02,
str,reactome,evidenceCountByDatasource,,21.02,
str,sysbio,evidenceCountByDatasource,,21.02,
str,phenodigm,evidenceCountByDatasource,,21.02,
str,phewas_catalog,evidenceCountByDatasource,,21.02,
str,cancer_gene_census,evidenceCountByDatasource,,21.02,
str,progeny,evidenceCountByDatasource,,21.02,
str,clingen,evidenceCountByDatasource,,21.02,
str,eva,evidenceCountByDatasource,,21.02,
str,gene2phenotype,evidenceCountByDatasource,,21.02,
str,uniprot_literature,evidenceCountByDatasource,,21.02,
str,eva_somatic,evidenceCountByDatasource,,21.02,
str,ot_genetics_portal,evidenceCountByDatasource,,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,targetId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,variantId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,clinicalStatus,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,drugId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,publicationYear,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,targetModulation,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,resourceScore,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,urls_niceName,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,urls_url,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,cohortShortName,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,pathwayId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,literature,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatio,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,confidence,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,pValueExponent,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,pValueMantissa,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,clinicalPhase,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_dEnd,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_dStart,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_section,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_tEnd,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_tStart,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_text,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,cohortId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,targetFromSourceId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,significantDriverMethods,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,reactionId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,clinicalSignificances,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,datatypeId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSource,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,confidenceIntervalLower,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,contrast,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,studyOverview,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,confidenceIntervalUpper,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,targetInModel,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,pathwayName,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,cohortDescription,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,variantRsId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,studyCases,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,studyId,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,studySampleSize,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,targetSymbol,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,targetName,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,diseaseLabel,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,id,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,score,21.02,
str,europepmc,evidenceFieldNotNullCountByDatasource,sourceId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,targetId,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,21.02,
str,crispr,evidenceFieldNotNullCountByDatasource,variantId,21.02,
