variable,field,value,count,datasourceId,runId
evidenceTotalCount,,,13680005.0,all,21.06.1
evidenceCountByDatasource,,,10550841.0,europepmc,21.06.1
evidenceCountByDatasource,,,1846.0,crispr,21.06.1
evidenceCountByDatasource,,,33763.0,uniprot_variants,21.06.1
evidenceCountByDatasource,,,17893.0,genomics_england,21.06.1
evidenceCountByDatasource,,,528957.0,chembl,21.06.1
evidenceCountByDatasource,,,78056.0,slapenrich,21.06.1
evidenceCountByDatasource,,,225933.0,expression_atlas,21.06.1
evidenceCountByDatasource,,,3292.0,intogen,21.06.1
evidenceCountByDatasource,,,9718.0,reactome,21.06.1
evidenceCountByDatasource,,,5729.0,orphanet,21.06.1
evidenceCountByDatasource,,,423.0,sysbio,21.06.1
evidenceCountByDatasource,,,713017.0,phenodigm,21.06.1
evidenceCountByDatasource,,,183064.0,phewas_catalog,21.06.1
evidenceCountByDatasource,,,63311.0,cancer_gene_census,21.06.1
evidenceCountByDatasource,,,420.0,progeny,21.06.1
evidenceCountByDatasource,,,1353.0,clingen,21.06.1
evidenceCountByDatasource,,,853078.0,eva,21.06.1
evidenceCountByDatasource,,,2627.0,gene2phenotype,21.06.1
evidenceCountByDatasource,,,5305.0,uniprot_literature,21.06.1
evidenceCountByDatasource,,,11589.0,eva_somatic,21.06.1
evidenceCountByDatasource,,,389790.0,ot_genetics_portal,21.06.1
evidenceFieldNotNullCountByDatasource,targetId,,10550841.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,alleleOrigins,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,allelicRequirements,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,beta,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,biologicalModelId,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,biosamplesFromSource,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,clinicalPhase,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,clinicalSignificances,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,clinicalStatus,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,cohortDescription,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,cohortId,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,cohortPhenotypes,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,cohortShortName,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,confidence,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,contrast,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,datatypeId,,10550841.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseCellLines,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseFromSource,,10550841.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseFromSourceMappedId,,10550841.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,drugId,,0.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,literature,,10550841.0,europepmc,21.06.1
evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,,0.0,europepmc,21.06.1
