value,datasourceId,variable,field,runId
4233201,all,evidenceTotalCount,,21.09.1-pre
1846,crispr,evidenceCountByDatasource,,21.09.1-pre
35645,uniprot_variants,evidenceCountByDatasource,,21.09.1-pre
19793,genomics_england,evidenceCountByDatasource,,21.09.1-pre
623666,chembl,evidenceCountByDatasource,,21.09.1-pre
74583,slapenrich,evidenceCountByDatasource,,21.09.1-pre
239961,expression_atlas,evidenceCountByDatasource,,21.09.1-pre
3333,intogen,evidenceCountByDatasource,,21.09.1-pre
10239,reactome,evidenceCountByDatasource,,21.09.1-pre
6305,orphanet,evidenceCountByDatasource,,21.09.1-pre
411,sysbio,evidenceCountByDatasource,,21.09.1-pre
1171176,phenodigm,evidenceCountByDatasource,,21.09.1-pre
1347,cancer_biomarkers,evidenceCountByDatasource,,21.09.1-pre
192477,phewas_catalog,evidenceCountByDatasource,,21.09.1-pre
77568,cancer_gene_census,evidenceCountByDatasource,,21.09.1-pre
406,progeny,evidenceCountByDatasource,,21.09.1-pre
1473,clingen,evidenceCountByDatasource,,21.09.1-pre
1115949,eva,evidenceCountByDatasource,,21.09.1-pre
4194,gene2phenotype,evidenceCountByDatasource,,21.09.1-pre
5471,uniprot_literature,evidenceCountByDatasource,,21.09.1-pre
12325,eva_somatic,evidenceCountByDatasource,,21.09.1-pre
635033,ot_genetics_portal,evidenceCountByDatasource,,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,alleleOrigins,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,beta,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biologicalModelId,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biomarkerName,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biomarkers_geneExpression_id,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biomarkers_geneExpression_name,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biomarkers_variant_functionalConsequenceId,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biomarkers_variant_id,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biomarkers_variant_name,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,biosamplesFromSource,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,clinicalPhase,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,clinicalSignificances,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,clinicalStatus,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,cohortDescription,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,cohortId,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,cohortShortName,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,confidence,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,contrast,21.09.1-pre
1846,crispr,evidenceFieldNotNullCountByDatasource,datatypeId,21.09.1-pre
1846,crispr,evidenceFieldNotNullCountByDatasource,diseaseCellLines,21.09.1-pre
1846,crispr,evidenceFieldNotNullCountByDatasource,diseaseFromSource,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,21.09.1-pre
1846,crispr,evidenceFieldNotNullCountByDatasource,diseaseFromSourceMappedId,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,drugFromSource,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,drugId,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,drugResponse,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,literature,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,21.09.1-pre
0,crispr,evidenceFieldNotNullCountByDatasource,oddsRatio,21.09.1-pre
