count,datasourceId,variable,field,runId
20644393,all,evidenceTotalCount,,2104_pre
17466667,europepmc,evidenceCountByDatasource,,2104_pre
1846,crispr,evidenceCountByDatasource,,2104_pre
34386,uniprot_variants,evidenceCountByDatasource,,2104_pre
7850,genomics_england,evidenceCountByDatasource,,2104_pre
582813,chembl,evidenceCountByDatasource,,2104_pre
74583,slapenrich,evidenceCountByDatasource,,2104_pre
239961,expression_atlas,evidenceCountByDatasource,,2104_pre
3175,intogen,evidenceCountByDatasource,,2104_pre
10033,reactome,evidenceCountByDatasource,,2104_pre
411,sysbio,evidenceCountByDatasource,,2104_pre
719092,phenodigm,evidenceCountByDatasource,,2104_pre
189971,phewas_catalog,evidenceCountByDatasource,,2104_pre
61835,cancer_gene_census,evidenceCountByDatasource,,2104_pre
406,progeny,evidenceCountByDatasource,,2104_pre
1207,clingen,evidenceCountByDatasource,,2104_pre
837793,eva,evidenceCountByDatasource,,2104_pre
2613,gene2phenotype,evidenceCountByDatasource,,2104_pre
5309,uniprot_literature,evidenceCountByDatasource,,2104_pre
11187,eva_somatic,evidenceCountByDatasource,,2104_pre
393255,ot_genetics_portal,evidenceCountByDatasource,,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,alleleOrigins,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,allelicRequirements,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,beta,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,biosamplesFromSource,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalPhase,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalSignificances,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalStatus,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortDescription,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortShortName,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,confidence,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,contrast,2104_pre
17466667,europepmc,evidenceFieldNotNullCountByDatasource,datatypeId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines,2104_pre
17466667,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSource,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,2104_pre
17466667,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceMappedId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,drugId,2104_pre
17466667,europepmc,evidenceFieldNotNullCountByDatasource,literature,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatio,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatioConfidenceIntervalLower,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatioConfidenceIntervalUpper,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,pValueExponent,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,pValueMantissa,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,pathways_id,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,pathways_name,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,publicationYear,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,reactionId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,reactionName,2104_pre
17466667,europepmc,evidenceFieldNotNullCountByDatasource,resourceScore,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,significantDriverMethods,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,studyCases,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,studyId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,studyOverview,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,studySampleSize,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,studyStartDate,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,studyStopReason,2104_pre
17466667,europepmc,evidenceFieldNotNullCountByDatasource,targetFromSource,2104_pre
17466667,europepmc,evidenceFieldNotNullCountByDatasource,targetFromSourceId,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,targetInModel,2104_pre
0,europepmc,evidenceFieldNotNullCountByDatasource,targetModulation,2104_pre
