value,datasourceId,variable,field,runId
16807922.0,all,evidenceTotalCount,,22.02.3
6681037.0,europepmc,evidenceCountByDatasource,,22.02.3
1828.0,crispr,evidenceCountByDatasource,,22.02.3
33906.0,uniprot_variants,evidenceCountByDatasource,,22.02.3
25109.0,genomics_england,evidenceCountByDatasource,,22.02.3
560562.0,chembl,evidenceCountByDatasource,,22.02.3
72370.0,slapenrich,evidenceCountByDatasource,,22.02.3
226938.0,expression_atlas,evidenceCountByDatasource,,22.02.3
3299.0,intogen,evidenceCountByDatasource,,22.02.3
9943.0,reactome,evidenceCountByDatasource,,22.02.3
5999.0,orphanet,evidenceCountByDatasource,,22.02.3
389.0,sysbio,evidenceCountByDatasource,,22.02.3
7111813.0,phenodigm,evidenceCountByDatasource,,22.02.3
1299.0,cancer_biomarkers,evidenceCountByDatasource,,22.02.3
171390.0,phewas_catalog,evidenceCountByDatasource,,22.02.3
74159.0,cancer_gene_census,evidenceCountByDatasource,,22.02.3
378.0,progeny,evidenceCountByDatasource,,22.02.3
1574.0,clingen,evidenceCountByDatasource,,22.02.3
1112480.0,eva,evidenceCountByDatasource,,22.02.3
3159.0,gene2phenotype,evidenceCountByDatasource,,22.02.3
5160.0,uniprot_literature,evidenceCountByDatasource,,22.02.3
11547.0,eva_somatic,evidenceCountByDatasource,,22.02.3
693583.0,ot_genetics_portal,evidenceCountByDatasource,,22.02.3
6681037.0,europepmc,evidenceFieldNotNullCountByDatasource,targetId,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,alleleOrigins,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,allelicRequirements,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,beta,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelId,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biomarkerName,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biomarkers_geneExpression_id,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biomarkers_geneExpression_name,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biomarkers_variant_functionalConsequenceId,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biomarkers_variant_id,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biomarkers_variant_name,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,biosamplesFromSource,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalPhase,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalSignificances,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalStatus,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,cohortDescription,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,cohortId,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,cohortShortName,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,confidence,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,contrast,22.02.3
6681037.0,europepmc,evidenceFieldNotNullCountByDatasource,datatypeId,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines_id,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines_name,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines_tissue,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines_tissueId,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSource,22.02.3
0.0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,22.02.3
